tweet_text,timestamp,likes,retweets,replies,comment_text,comment_author
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
176K
784K
4.4M",2022-04-28T00:56:58.000Z,4.4M,784K,176K,Yesss!!!,Unknown
